id,decimalLatitude,decimalLongitude,month,year
1893551,36.820653,-119.384287,4,1953
1893564,37.02697,-119.583682,3,1969
1893556,37.02697,-119.583682,4,1930
1893626,36.453599,-120.462282,4,1967
1893554,36.820653,-119.384287,3,1980
1893622,36.719757,-120.837454,4,1969
1893553,36.718634,-119.329837,3,1981
2175846,36.100673,-120.455971,3,1986
1893552,36.715348,-119.340006,3,1970
1367424,36.035566,-120.358041,4,1922
1367425,36.035566,-120.358041,4,1922
1355531,36,-120.466667,4,2002
1400679,36.154167,-120.548611,4,2014
1893550,36.75936,-119.106377,5,1953
1893618,36.258737,-120.360144,3,1935
303051,36.715483,-119.338746,4,1979
1893617,36.616249,-120.700141,4,1932
C87354,NA,NA,5,1967
303081,36.107698,-120.404091,3,1966
1893614,NA,NA,3,1934
1893619,NA,NA,4,1935
1893565,36.082638,-120.47162,4,1956
1893629,36.592144,-120.684796,3,1934
303050,36.820653,-119.384287,3,1979
303060,35.2647,-118.0116,4,1958
1893623,35.181556,-117.878169,4,1979
466556,35.7221,-118.5144,5,1955
466525,35.4967,-117.95083,4,1962
303049,35.2609,-117.9737,4,1958
466506,35.22287,-118.70882,5,1956
466532,35.4262,-118.9391,3,1956
172762,35.5769,-118.5057,3,1977
303080,35.0046,-119.418318,4,1962
172732,34.820938,-118.974839,4,1977
172739,34.919876,-119.405089,3,1997
1893634,35.142515,-117.98615,4,1981
466603,35.5766,-118.4101,4,1986
466498,35.17997,-118.83301,3,1935
466876,34.89417,-118.625,4,2009
466528,35.0125,-117.9034,5,1937
1334248,35.568056,-118.98,4,2008
1367420,35.034,-118.1046,3,1934
1401880,35.311111,-118.587778,3,2010
1402006,35.314167,-118.585278,3,2013
1367100,35.721438,-118.506048,5,1974
1367102,34.8611,-118.8793,4,1961
1367098,35.132644,-118.448333,5,1905
1384302,38.312222,-121.934167,5,2013
1404792,35.00366,-118.68117,3,2014
1405736,34.91048,-118.65712,5,2014
1405383,34.945149,-118.55452,4,2014
1367103,34.857778,-118.843889,3,2005
1367099,35.326753,-119.612963,4,1992
1893615,35.020795,-118.033061,4,1965
208379,35.1254,-117.985,3,1974
608770,35.003,-117.8075,4,1958
303056,35.938397,-118.483492,3,1985
303048,34.90656,-119.385893,5,1978
295229,35.53764,-118.70956,3,1982
295209,35.497,-118.6963,4,1982
466818,35.41868,-118.2563,5,2008
1893627,35.46913,-117.664614,3,1968
1893632,NA,NA,4,1981
303072,35.235909,-117.862529,4,1991
303057,34.7924,-118.8345,5,1980
608772,34.625033,-117.827004,4,1978
466494,34.6661,-118.3973,3,1931
303085,34.734986,-117.777285,4,1965
1893625,34.743599,-117.800894,5,1975
303063,34.5007,-118.381,5,1963
466803,34.69639,-118.65944,3,1997
466874,34.78056,-118.76444,4,2015
JEPS27085,36.8252,-120.9781,4,1940
1368879,36.939372,-121.110198,3,1986
1368880,36.939372,-121.110198,4,1986
C87357,36.850782,-120.978524,5,1940
2052556,36.971944,-121.096667,3,1986
C87349,36.194097,-120.719262,5,1936
1400678,35.981944,-120.458056,4,2014
C87352,36.196502,-120.720482,6,1963
C87353,35.984181,-120.458492,5,1941
C87348,35.990464,-120.465908,5,1965
C87351,35.990464,-120.465908,5,1965
1893631,36.558964,-120.706604,3,1961
C87360,36.65388,-121.083044,5,1935
C87361,36.65388,-121.083044,5,1935
305357,36.650791,-121.103251,4,1955
C87355,32.960848,-114.659354,5,1956
C87359,36.62826,-121.014507,5,1935
1893624,36.536094,-120.719101,3,1952
C87362,36.62826,-121.014507,4,1938
1396095,36.401944,-120.681944,4,2013
1355516,36.35,-120.733333,4,2002
1400873,36.365,-120.755556,4,2014
1400875,36.366111,-120.754167,4,2014
1400876,36.366111,-120.754722,4,2014
1400880,36.402222,-120.681944,4,2014
1402269,36.41717,-120.67441,4,2013
1402089,36.41717,-120.67441,4,2013
1368881,36.619825,-120.979835,4,1980
1402090,36.661389,-121.111111,4,2013
1400681,36.661389,-121.111111,4,2014
1400881,36.62,-120.98,4,2014
1400877,36.4025,-120.753889,4,2014
1400878,36.403056,-120.754444,4,2014
1402074,36.380556,-120.876389,5,2010
1309845,34.9377,-117.382,4,1955
208377,34.966031,-117.45026,3,1968
303082,34.895623,-117.514313,4,1965
303077,34.9235,-117.5187,4,1978
303084,35.3094,-117.6109,4,1958
303078,35.3094,-117.6109,4,1958
208378,34.9691,-117.4562,4,1969
1294319,35.2511,-117.6112,4,1969
466474,34.9967,-117.5788,4,1938
1893612,34.818668,-115.614088,5,1969
1893613,34.919237,-117.517075,4,1966
1893630,NA,NA,4,1955
1893628,35.015345,-117.972547,4,1966
466501,35.31472,-117.60833,4,1939
2059192,35.283889,-115.247778,3,1940
1294320,34.9082,-117.5156,4,1957
608774,34.959,-117.532,3,2005
303074,34.8987,-117.023,4,1939
303076,34.99673,-117.603983,4,1939
466429,34.6948,-118.1363,6,1932
303079,35.7178,-117.8689,4,1958
1893620,34.989087,-117.495712,5,1952
1321489,34.977222,-117.537222,3,2005
1401895,34.973056,-117.536944,4,2010
1367417,34.9923,-117.5416,4,1957
208373,35.350546,-120.092912,4,1950
208372,35.204229,-119.773249,5,1982
208396,35.724109,-120.225261,4,1962
172766,35.770195,-120.848132,4,2001
172752,34.991667,-119.483333,3,1998
172746,35.290851,-119.846373,3,1978
608776,35.02,-119.53,4,1992
208375,35.016,-119.826,3,1967
172751,35.205896,-119.706768,3,1965
208352,35.034555,-119.87585,4,1949
208353,35.1496,-119.65085,3,1967
208354,35.1496,-119.65085,4,1967
208355,35.1496,-119.65085,4,1967
208356,35.1496,-119.65085,4,1967
172747,35.321687,-119.852324,3,1978
172754,35.24,-119.79,3,1988
208376,35.091637,-119.617626,4,1967
208374,35.20962,-119.704669,3,1966
208371,35.53428,-120.132675,4,1952
208370,35.53428,-120.132675,4,1952
172736,35.107881,-120.0759,4,2001
466529,35.67084,-120.238754,4,1932
1367422,34.991667,-119.483333,3,1998
172738,35.0175,-119.613056,4,2005
172753,34.953611,-119.533056,3,2005
215450,35.087966,-119.691165,3,2016
172749,35.055796,-119.522897,4,1986
172748,35.206359,-119.704628,4,1986
466849,35.035576,-120.186533,4,1998
172745,34.775242,-119.595905,4,1992
466627,34.775242,-119.595905,4,1992
303083,34.884928,-119.443092,5,1965
208351,35.023,-120.206,4,1949
303052,34.755002,-119.892321,3,1978
303058,35.035576,-120.186533,3,1962
1367101,36.20566,-118.761324,5,1976
303054,34.773774,-119.424262,5,1978
172737,34.755275,-119.414366,4,1992
172734,34.687738,-119.357015,4,2000
303061,34.727265,-119.222423,4,1962
303055,34.83793,-119.37832,3,1957
1367104,34.327422,-118.903263,3,1962
1401918,34.878333,-119.4325,5,2010
1401920,34.879167,-119.433611,5,2010
1402011,34.880556,-119.438889,3,2013
608765,34.33,-118.9,3,1962
608766,34.64,-119.35,5,2000